NCTId,PD-L1,CUI
NCT00101348,NULL,
NCT01358942,NULL,
NCT00776698,NULL,
NCT00708448,NULL,
NCT01368848,NULL,
NCT01893268,NULL,
NCT01963351,NULL,
NCT00806923,NULL,
NCT01343914,NULL,
NCT00536640,NULL,
NCT02745691,NULL,
NCT01598597,NULL,
NCT02835833,NULL,
NCT00388206,NULL,
NCT00043823,NULL,
NCT01827852,NULL,
NCT05110118,NULL,
NCT00734890,NULL,
NCT00588666,NULL,
NCT00923936,NULL,
NCT03959137,NULL,
NCT00973557,NULL,
NCT01931098,NULL,
NCT03321513,NULL,
NCT05476341,NULL,
NCT02272413,NULL,
NCT01588184,NULL,
NCT00027703,NULL,
NCT02737501,NULL,
NCT02094573,NULL,
NCT03410108,NULL,
NCT04718012,NULL,
NCT04887519,NULL,
NCT03420742,NULL,
NCT01449461,NULL,
NCT00469898,NULL,
NCT01004731,NULL,
NCT00883675,NULL,
NCT00280735,NULL,
NCT00387660,NULL,
NCT01331525,NULL,
NCT00061919,NULL,
NCT02499770,NULL,
NCT01082549,NULL,
NCT00683904,NULL,
NCT00074204,NULL,
NCT00737867,NULL,
NCT00104793,NULL,
NCT00874419,NULL,
NCT00881296,NULL,
NCT00326599,NULL,
NCT00912392,NULL,
NCT00004096,NULL,
NCT00430651,NULL,
NCT00042978,NULL,
NCT01076504,NULL,
NCT00097214,NULL,
NCT00072527,NULL,
NCT00449020,NULL,
NCT02289690,NULL,
NCT00927875,NULL,
NCT00075751,NULL,
NCT00695292,NULL,
NCT00316186,NULL,
NCT00317200,NULL,
NCT00004201,NULL,
NCT04902885,NULL,
NCT00682981,NULL,
NCT00856830,NULL,
NCT00041054,NULL,
NCT00240097,NULL,
NCT00247416,NULL,
NCT01987232,NULL,
NCT00647426,NULL,
NCT01466647,NULL,
NCT03066778,PD-L1_Negative,C4054670
NCT00433498,NULL,
NCT01683682,NULL,
NCT00190710,NULL,
NCT00305942,NULL,
NCT01652820,NULL,
NCT00070486,NULL,
NCT00017251,NULL,
NCT00826852,NULL,
NCT00042679,NULL,
NCT00717938,NULL,
NCT00599755,NULL,
NCT00041314,NULL,
NCT00094822,NULL,
NCT00321334,NULL,
NCT01439568,NULL,
NCT00025272,NULL,
NCT00687297,NULL,
NCT00028925,NULL,
NCT00463515,NULL,
NCT00052338,NULL,
NCT00453154,NULL,
NCT00251498,NULL,
