NCTId,Histology,CUI
NCT03085914,Squamous cell carcinoma,C0349656
NCT03085914,Carcinoma,C0007097
NCT03085914,Large Cell,C0334248
NCT03085914,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT03085914,Carcinoid Tumor,C0007095
NCT03085914,Adenosquamous carcinoma,C0206623
NCT03085914,spindle cell,C0349656
NCT04541706,Adenocarcinoma,C0001418
NCT05167500,NULL,
NCT03727477,Non-small Cell Lung Cancer,C0007131
NCT04541407,NULL,
NCT03704688,Non Small Cell Lung Cancer,C0007131
NCT02900664,NULL,
NCT01938443,NULL,
NCT03520842,Non Small Cell Lung Cancer,C0007131
NCT05796726,Non small Cell Lung Cancer,C0007131
NCT05154344,Non-Small Cell Lung Cancer,C0007131
NCT02385110,NULL,
NCT01183065,Squamous cell carcinoma,C0349656
NCT00215046,NULL,
NCT03839537,NULL,
NCT02648724,NULL,
NCT00051311,NULL,
NCT01188798,NULL,
NCT00003553,NULL,
NCT00354393,NULL,
NCT01056614,NULL,
NCT01951885,NULL,
NCT00003838,NULL,
NCT02345850,NULL,
NCT00343785,NULL,
NCT03699631,NULL,
NCT00001256,NULL,
NCT00445744,NULL,
NCT00860574,NULL,
NCT00448201,NULL,
NCT01664910,NULL,
NCT03652857,Non-small Cell Lung Cancer,C0007131
NCT02709720,Non Small Cell Lung Cancer,C0007131
NCT00008333,Non-small Cell Lung Cancer,C0007131
NCT00165334,Adenocarcinoma,C0001418
NCT00870532,NULL,
NCT00002583,Non small Cell Lung Cancer,C0007131
NCT00005865,Non Small Cell Lung Cancer,C0007131
NCT00287963,NULL,
NCT00017459,Non Small Cell Lung Cancer,C0007131
NCT03117335,Non-small Cell Lung Cancer,C0007131
NCT02176369,Non Small Cell Lung Cancer,C0007131
NCT01124253,Non-small Cell Lung Cancer,C0007131
NCT01109524,Non small Cell Lung Cancer,C0007131
NCT00148798,Non Small Cell Lung Cancer,C0007131
NCT00253591,Non Small Cell Lung Cancer,C0007131
NCT00309972,Non Small Cell Lung Cancer,C0007131
NCT01839032,NULL,
NCT02619929,NULL,
NCT00683514,Non Small Cell Lung Cancer,C0007131
NCT02497118,NULL,
NCT00890903,Adenocarcinoma,C0001418
NCT00890903,Squamous cell carcinoma,C0349656
NCT00890903,large cell,C0334248
NCT00890903,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00890903,Carcinoid Tumor,C0007095
NCT00890903,Adenosquamous carcinoma,C0206623
NCT00890903,spindle cell,C0349656
NCT02555007,Non-Small Cell Lung Cancer,C0007131
NCT01029678,NULL,
NCT01118676,Non Small Cell Lung Cancer,C0007131
NCT01684111,Non Small Lung Cell Cancer,C0007131
NCT00540982,NULL,
NCT00014430,Adenocarcinoma,C0001418
NCT01687439,Non-small Cell Lung Cancer,C0007131
NCT01848613,NULL,
NCT00050973,NULL,
NCT00278070,NULL,
NCT00312819,NULL,
NCT02139904,NULL,
NCT00256815,Non Small Cell Lung Cancer,C0007131
NCT00432562,NULL,
NCT00001944,NULL,
NCT00002823,Non-small Cell Lung Cancer,C0007131
NCT01155258,NULL,
NCT01441752,Non-Small Cell Lung Carcinoma,C0007131
NCT02411591,Non Small Cell Lung Cancer,C0007131
NCT03433534,NULL,
NCT03382496,Adenocarcinoma,C0001418
NCT03382496,Squamous cell carcinoma,C0349656
NCT03382496,Carcinoma,C0007097
NCT03382496,Large Cell,C0334248
NCT03382496,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT03382496,Carcinoid Tumor,C0007095
NCT03382496,Adenosquamous carcinoma,C0206623
NCT03382496,spindle cell,C0349656
NCT02538666,NULL,
NCT03325816,Small Cell Lung Cancer,C0149925
NCT03090737,Non-small Cell Lung Cancer,C0007131
NCT03195491,Non Small Cell Lung Cancer,C0007131
NCT01721759,Squamous cell carcinoma,C0349656
NCT03001882,Non Small Cell Lung Cancer,C0007131
NCT02409368,Squamous cell carcinoma,C0349656
NCT02713867,Non-small Cell Lung Cancer,C0007131
NCT03132493,NULL,
NCT03273790,Non Small Cell Lung Cancer,C0007131
NCT02823990,Lung Cancer,C0242379
NCT02869789,NULL,
NCT02066636,Non Small Cell Lung Cancer,C0007131
NCT02481830,Small cell lung cancer,C0149925
NCT03215810,Non Small Cell Lung Cancer,C0007131
NCT02434081,Non Small Cell Lung Carcinoma,C0007131
NCT03262779,Non-small Cell Lung Cancer,C0007131
NCT03804554,Non-small Cell Lung Cancer,C0007131
NCT02423343,Hepatocellular Carcinoma,
NCT02423343,NSCLC,C0007131
NCT04858204,Non Small Cell Lung Cancer,C0007131
NCT03123783,NULL,
NCT02897765,Adenocarcinoma,C0001418
NCT02897765,Squamous cell carcinoma,C0349656
NCT02897765,Carcinoma,C0007097
NCT02897765,Large Cell,C0334248
NCT02897765,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT02897765,Carcinoid Tumor,C0007095
NCT02897765,Adenosquamous carcinoma,C0206623
NCT02897765,spindle cell,C0349656
NCT02954991,Non Small Cell Lung Cancer,C0007131
NCT03468985,Non-small Cell Lung Cancer,C0007131
NCT03486119,NULL,
NCT02350764,NULL,
NCT01928576,NULL,
NCT02933346,Non-Small Cell Lung Carcinoma,C0007131
NCT02247349,Squamous cell carcinoma,C0349656
NCT04749602,NULL,
NCT02939300,NULL,
NCT03444766,NULL,
NCT03181308,NULL,
NCT03326752,NULL,
NCT00441337,NULL,
NCT04507906,Non-Small Cell Lung Cancer,C0007131
NCT04082988,Non-Small Cell Lung Cancer,C0007131
NCT03190174,Sarcoma,
NCT03190174,Cancer,
NCT03639714,NULL,
NCT04470440,NULL,
NCT02327078,NULL,
NCT02658890,NULL,
NCT03098550,Adenocarcinoma,C0001418
NCT03098550,Non Small Cell Lung,C0007131
NCT03098550,Triple Negative Breast,
NCT03044626,Non-Small Cell Lung Cancer,C0007131
NCT04122625,NULL,
NCT03735628,NULL,
NCT02684253,Squamous cell carcinoma,C0349656
NCT03226756,Squamous cell carcinoma,C0349656
NCT04159025,Non-small cell lung cancer,C0007131
NCT03636477,NULL,
NCT02973113,NULL,
NCT02526017,NULL,
NCT05041062,Malignant Peritoneal Mesothelioma,
NCT00730639,NULL,
NCT02582125,Non Small Cell Lung Cancer,C0007131
NCT02175017,Non Small Cell Lung Cancer,C0007131
NCT03953235,NULL,
NCT02983045,NULL,
NCT02946671,NULL,
NCT03758781,NULL,
NCT03829436,NULL,
NCT03241173,NULL,
NCT03434418,Non small Cell Lung Cancer,C0007131
NCT02769286,Non-Small Cell Lung Carcinoma,C0007131
NCT02228369,Non Small Cell Lung Cancer,C0007131
NCT03455829,Non Small Cell Lung Cancer,C0007131
NCT03853551,NULL,
NCT04479306,Non Small Cell Lung Cancer,C0007131
NCT02163733,NULL,
NCT03810066,NULL,
NCT02317016,NULL,
NCT03858491,NULL,
NCT02474355,Non-Small Cell Lung Cancer,C0007131
NCT03450330,Non-small Cell Lung Cancer,C0007131
NCT04546282,NULL,
NCT02841579,Adenocarcinoma,C0001418
NCT02197247,NULL,
NCT03457220,Non-small Cell Lung Cancer,C0007131
NCT02908750,NULL,
NCT02777567,Adenocarcinoma,C0001418
NCT03137264,Adenocarcinoma,C0001418
NCT04959981,NULL,
NCT03463525,NULL,
NCT03485326,Non-small cell lung cancer,C0007131
NCT03219970,Non-Small Cell Lung Cancer,C0007131
NCT03133234,Adenocarcinoma,C0001418
NCT02997501,NULL,
NCT03446417,Non Small Cell Lung Cancer,C0007131
NCT02224053,NULL,
NCT02491944,NULL,
NCT02529995,NULL,
NCT02756039,NULL,
