NCTId,Histology,CUI
NCT03035890,Non Small Cell Lung Cancer,C0007131
NCT02523469,Non Small Cell Lung Cancer,C0007131
NCT02876510,NULL,
NCT02403271,NULL,
NCT02054052,NULL,
NCT00217282,NULL,
NCT00698516,Small Cell Lung Cancer,C0149925
NCT00193375,Small Cell Lung Cancer,C0149925
NCT02803203,Adenocarcinoma,C0001418
NCT00930891,NULL,
NCT00741195,Non Small Cell Lung Cancer,C0007131
NCT00755170,Non Small Cell Lung Cancer,C0007131
NCT00403403,Small Cell Lung Cancer,C0149925
NCT00356122,Non Small Cell Lung Cancer,C0007131
NCT00541099,Non Small Cell Lung Cancer,C0007131
NCT00451906,Non Squamous Cell Lung Cancer,
NCT00675597,Non-small Cell Lung Cancer,C0007131
NCT00323869,NULL,
NCT00970684,Non Small Cell Lung Cancer,C0007131
NCT01562028,Adenocarcinoma,C0001418
NCT00425646,NULL,
NCT00309998,Non Small Cell Lung Cancer,C0007131
NCT00118235,Small Cell Lung Cancer,C0149925
NCT00387699,Small Cell Lung Cancer,C0149925
NCT00365547,Non Small Cell Lung Cancer,C0007131
NCT00367601,Non Small Cell Lung Cancer,C0007131
NCT00445848,Non Small Cell Lung Cancer,C0007131
NCT00079040,NULL,
NCT00130780,Non Small Cell Lung Cancer,C0007131
NCT04345146,Non-Small Cell Lung Cancer,C0007131
NCT01661790,Non-small Cell Lung Cancer,C0007131
NCT00354549,NULL,
NCT02959749,Non Small Cell Lung Cancer,C0007131
NCT02596958,Non-small cell lung cancer,C0007131
NCT00130728,NULL,
NCT00661778,Non-small Cell Lung Cancer,C0007131
NCT00553800,Non-small Cell Lung Cancer,C0007131
NCT00741988,Non Small Cell Lung Cancer,C0007131
NCT01934465,Non Small Cell Lung Cancer,C0007131
NCT01047059,NULL,
NCT00308529,Small Cell Lung Cancer,C0149925
NCT00633529,Adenocarcinoma,C0001418
NCT01262820,Non-Small Cell Lung Cancer,C0007131
NCT00773188,Non Squamous Non Small Cell Lung Cancer,C4324656
NCT00257608,Non Small Cell Lung Cancer,C0007131
NCT02316327,Adenocarcinoma,C0001418
NCT03170284,Non Small Cell Lung Cancer,C0007131
NCT01995188,Non Squamous Non small Cell Lung Cancer,C4324656
NCT01995188,Ovarian Cancer,C0919267
NCT00250978,NULL,
NCT01532089,Non-small Cell Lung Cancer,C0007131
NCT04257864,Non Small Cell Lung Cancer,C0007131
NCT00294931,NULL,
NCT01077713,Non Small Cell Lung Cancer,C0007131
NCT01137968,Non small Cell Lung Cancer,C0007131
NCT00621049,NULL,
NCT01333007,Non Squamous Non Small Cell Lung Cancer,C4324656
NCT00436332,Adenocarcinoma,C0001418
NCT00585377,Non squamous Cell Lung Cancer,
NCT00400803,Non-small Cell Lung Cancer,C0007131
NCT00620971,NULL,
NCT00101348,Adenocarcinoma,C0001418
NCT00101348,Squamous cell carcinoma,C0349656
NCT00101348,carcinoma,C0007097
NCT00101348,Large Cell,C0334248
NCT00101348,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00101348,Carcinoid Tumor,C0007095
NCT00101348,Adenosquamous carcinoma,C0206623
NCT00101348,spindle cell,C0349656
NCT01358942,Non Small Cell Lung Cancer,C0007131
NCT00776698,Non-Squamous Non-Small Cell Lung Cancer,C4324656
NCT00708448,NULL,
NCT01368848,Carcinoma,C0007097
